name,title,date,url
ypec.kr,2024 축제기획자 양성과정,2024. 7. 1.,https://www.ypec.kr
스파르타코딩클럽,"[왕초보] 마케터, 기획자를 위한 실전 데이터 분석",2024. 2. 19.,No URL available
티스토리,영화기획자 하는일 적성 흥미 관련학과 준비과정 전망 월급 연봉,2024. 7. 30.,https://ppqwpt12.tistory.com
티스토리,작지만 당당한 기획자되는 법 - 팔랑크스,2024. 7. 14.,https://phalanx-club.tistory.com
이랜서,"고객 여정 지도, 'N사' 서비스 기획자는 이렇게 만듭니다.",2024. 6. 25.,https://www.elancer.co.kr
민원·공모 홈서비스,2024 대구 차세대 축제기획자 아카데미 참여자 모집공고,2024. 1. 15.,https://minwon.daegu.go.kr
Instagram,함양군청 | 🧑‍🏫 24년 농촌문화기획자 양성과정 개강식 7월 2 ...,2024. 7. 2.,https://www.instagram.com
ACC 국립아시아문화전당,교육 일정(상세),2024. 6. 18.,https://www.acc.go.kr
동서대학교,【광고PR전공 직무기술서】,2024. 5. 13.,No URL available
USG 공통교양플랫폼,2024 공동체혁신 문화기획자 양성과정 <성평등실천 활동가 ...,2024. 7. 16.,https://eclass.usg.ac.kr
누리마루 학원,게임기획과정,2024. 2. 23.,http://www.maruschool.com
Threads,"여기서 중요한 점은 보다 나음에 있고, 보다 나음은 기획자 ...",2024. 6. 3.,https://www.threads.net
더시그널뉴스,"정선군, 웰니스관광 아카데미 2기 - 기획자 과정 운영",2024. 7. 25.,https://www.signalnews.co.kr
데일리대구경북뉴스,"구미시, 청년들의 문화 기획자와 디자이너의 꿈 지원",2024. 7. 16.,http://www.dailydgnews.com
에듀코카,"백스테이지에서 이루어지는 또 하나의 공연, 무대 뒤 사람들",2024. 5. 9.,https://edu.kocca.kr
HR아카데미,교육과정 기획 및 개발 실무,2024. 6. 14.,http://hracademy.co.kr
GIGGUIDE.KOREA,Gigguide.Korea 내한공연 기획자 육성과정 커리큘럼,2024. 1. 30.,http://www.gigguide.kr
경기내일스퀘어안산 상상대로,행사기획 프로젝트 매니저 과정 13기 > 외부 프로그램,2024. 6. 10.,https://asyouthspace.kr
아트모아,예술산업아카데미 정규과정,2024. 5. 7.,https://artmore.kr
야메의 이상한 생각과 공감,"기획자의 포트폴리오, 어떻게 써야할까? ① - 개론 편",2024. 4. 9.,https://yamestyle.com
에듀진 인터넷 교육신문,'게임기획자' 게임의 성공 여부는 기획에서 결정된다!,2024. 3. 13.,http://www.edujin.co.kr
패스트캠퍼스,INNER CIRCLE : PM/UXUI Course,2024. 6. 10.,https://fastcampus.co.kr
전통공연예술진흥재단,'2024 전통예술 기획자 양성 프로젝트'참여자 모집,2024. 5. 22.,https://www.kotpa.org
커리어넷,직업체험 콘텐츠 기획을 통해 아이들의 꿈을 만들다.,2024. 6. 10.,https://www.career.go.kr
티스토리,기획이란 무엇인가? 당신에게 기획력이 필요한 이유는? (feat. 챗 ...,2024. 7. 11.,https://jobpro.tistory.com
잡코리아,컨벤션법인 이오컨벡스 기획 직무인터뷰,2024. 1. 18.,https://www.jobkorea.co.kr
