keyword,name,title,date,url
기획자 과정,뷰티풀라이프.com,A&R : 음반을 기획하는 사람 : 엔터취업 칼럼 - 뷰티풀라이프,2024. 2. 11.,https://xn--oi2bj6j3yi71lf1bywa.com/column/?bmode=view&idx=17753806
기획자 과정,인프런,웹기획 기초과정 [프로젝트 표준 워크플로] 강의 | 미노플라넷,2024. 3. 15.,https://www.inflearn.com/course/%EC%9B%B9-%EA%B8%B0%ED%9A%8D-%EA%B8%B0%EC%B4%88-%EC%9B%8C%ED%81%AC%ED%94%8C%EB%A1%9C?srsltid=AfmBOop5Aa0eJomfwzAJiDcj3Z8lxRMf6R9nWjdAO1xk3fU0vUfWocqP
기획자 과정,CJ 올리브영 채용블로그,플랫폼 기획 직무는 쉽게 이야기해서 '건축'과 비슷합니다.,2024. 1. 8.,https://career.oliveyoung.com/interview
기획자 과정,Social Value Connect,[초기투자액셀러레이터협회] 제16기 창업기,2024. 7. 17.,https://m.socialvalueconnect.com/community/1207.do
기획자 과정,원티드,[머니투데이] [GenAI] IT 서비스 기획자 채용 공고,2024. 5. 31.,https://www.wanted.co.kr/wd/223304
기획자 과정,velog,기획자는 대체 뭘 하나요? - 서비스 기획에 대하여,2024. 2. 24.,https://velog.io/@tunturi_uni/%EA%B8%B0%ED%9A%8D%EC%9E%90%EB%8A%94-%EB%8C%80%EC%B2%B4-%EB%AD%98-%ED%95%98%EB%82%98%EC%9A%94-%EC%84%9C%EB%B9%84%EC%8A%A4-%EA%B8%B0%ED%9A%8D%EC%97%90-%EB%8C%80%ED%95%98%EC%97%AC
기획자 과정,디지털타임스,"디지털미디어산업진흥협회, 디지털미디어 콘텐츠 기획자 ...",2024. 3. 6.,http://www.dt.co.kr/contents.html?article_no=2024030602109923088001
기획자 과정,나인하이어,[스노우볼] [경력] B2G 교육 상품 기획자/운영매니저,2024. 3. 18.,https://day1company.ninehire.site/job_posting/2hwZyvpU
기획자 과정,비티와이플러스,상세페이지 기획자가 일하는 방식,2024. 4. 19.,https://blog.btyplus.co.kr/%EC%83%81%EC%84%B8%ED%8E%98%EC%9D%B4%EC%A7%80-%EA%B8%B0%ED%9A%8D%EC%9E%90%EA%B0%80-%EC%9D%BC%ED%95%98%EB%8A%94-%EB%B0%A9%EC%8B%9D
기획자 과정,티스토리,꿈꾸는 기획자,2024. 3. 24.,https://happy-eon.tistory.com/
기획자 과정,교보문고,콘텐츠기획자 검색결과,2024. 4. 24.,https://search.kyobobook.co.kr/search?keyword=%EC%BD%98%ED%85%90%EC%B8%A0%EA%B8%B0%ED%9A%8D%EC%9E%90
